"year","cowcode","ln_gdpen"
1946,140,-0.00300453
1947,140,0.07045842
1948,140,0.109750912
1949,140,0.163818061
1950,140,0.235072106
1951,140,0.242946163
1952,140,0.313349843
1953,140,0.303801477
1954,140,0.381855279
1955,140,0.416734666
1956,140,0.406131595
1957,140,0.473746568
1958,140,0.514618397
1959,140,0.550430834
1960,140,0.578858078
1961,140,0.627541423
1962,140,0.654406369
1963,140,0.638162851
1964,140,0.637634456
1965,140,0.626473069
1966,140,0.643431604
1967,140,0.677525818
1968,140,0.767326593
1969,140,0.804688573
1970,140,0.889536023
1971,140,0.977950096
1972,140,1.067121625
1973,140,1.171862721
1974,140,1.240690351
1975,140,1.254190564
1976,140,1.32998848
1977,140,1.350667119
1978,140,1.357380271
1979,140,1.405606747
1980,140,1.459312439
1981,140,1.385544062
1982,140,1.378262162
1983,140,1.322555542
1984,140,1.343647718
1985,140,1.390535355
1986,140,1.457218766
1987,140,1.462560654
1988,140,1.436987519
1989,140,1.451847911
1990,140,1.396739602
1991,140,1.388042808
1992,140,1.356350422
1993,140,1.389333725
1994,140,1.432414293
1995,140,1.45992136
1996,140,1.474087
1997,140,1.492321134
1998,140,1.478241444
1999,140,1.473315239
2000,140,0.87186125
1945,355,-1.335601211
1946,355,-1.269400597
1947,355,-1.187443495
1948,355,-1.17118299
1949,355,-1.044124126
1950,355,-0.95451194
1951,355,-0.867500603
1952,355,-0.765717864
1953,355,-0.675307274
1954,355,-0.631111801
1955,355,-0.514164567
1956,355,-0.486133009
1957,355,-0.400477529
1958,355,-0.327116132
1959,355,-0.168418616
1960,355,-0.043951869
1961,355,0.069526091
1962,355,0.198850885
1963,355,0.301584989
1964,355,0.453620136
1965,355,0.534737468
1966,355,0.744790375
1967,355,0.837247491
1968,355,0.905836284
1969,355,0.994732141
1970,355,1.060910344
1971,355,1.059178233
1972,355,1.101275325
1973,355,1.148354411
1974,355,1.181420445
1975,355,1.257608294
1976,355,1.284538388
1977,355,1.327870488
1978,355,1.387044072
1979,355,1.446212888
1980,355,1.367621183
1981,355,1.438886881
1982,355,1.453251839
1983,355,1.51138401
1984,355,1.517761111
1985,355,1.56297493
1986,355,1.750242829
1987,355,1.807796836
1988,355,1.926872969
1989,355,1.908504963
1990,355,1.825033069
1991,355,1.658989668
1992,355,1.650195956
1993,355,1.643277645
1994,355,1.665671349
1995,355,1.698029876
1996,355,1.596412301
1997,355,1.528715968
1998,355,1.569764853
1999,355,1.599433184
2000,355,0.858787173
1960,439,-0.785262465
1961,439,-0.884307742
1962,439,-0.848632097
1963,439,-0.908818722
1964,439,-0.903868198
1965,439,-0.986176848
1966,439,-1.002393365
1967,439,-0.918793917
1968,439,-0.889162004
1969,439,-0.889162004
1970,439,-0.983499467
1971,439,-0.983499467
1972,439,-0.975510061
1973,439,-0.978166163
1974,439,-0.933945656
1975,439,-0.87707001
1976,439,-0.832409263
1977,439,-0.802962005
1978,439,-0.809680998
1979,439,-0.774357259
1980,439,-0.783071935
1981,439,-0.763569653
1982,439,-0.669430614
1983,439,-0.689155221
1984,439,-0.746547937
1985,439,-0.703197479
1986,439,-0.671385705
1987,439,-0.671385705
1988,439,-0.650087655
1989,439,-0.655851424
1990,439,-0.671385705
1991,439,-0.650087655
1992,439,-0.665531993
1993,439,-0.696948409
1994,439,-0.708531916
1995,439,-0.693213761
1996,439,-0.658630729
1997,439,-0.636236787
1998,439,-0.60063529
1999,439,-0.568762481
2000,439,0.85260182
1962,516,-0.669430614
1963,516,-0.669430614
1964,516,-0.791863143
1965,516,-0.941608548
1966,516,-0.908818722
1967,516,-0.869884372
1968,516,-0.869884372
1969,516,-0.879476786
1970,516,-1.075872779
1971,516,-0.79850775
1972,516,-0.841647208
1973,516,-0.805196702
1974,516,-0.834710777
1975,516,-0.805196702
1976,516,-0.796287954
1977,516,-0.67727381
1978,516,-0.715392828
1979,516,-0.719491184
1980,516,-0.733969212
1981,516,-0.681218624
1982,516,-0.687165082
1983,516,-0.719491184
1984,516,-0.727738619
1985,516,-0.640554726
1986,516,-0.59602046
1987,516,-0.61989677
1988,516,-0.581605792
1989,516,-0.631111801
1990,516,-0.597836971
1991,516,-0.579818487
1992,516,-0.563874841
1993,516,-0.646799266
1994,516,-0.709040642
1995,516,-0.806020319
1996,516,-0.914400518
1997,516,-0.931252122
1998,516,-0.904617906
1999,516,-0.93403399
2000,516,0.860458999
1953,811,0.83575031
1954,811,-0.941608548
1955,811,-0.832409263
1956,811,-0.748659909
1957,811,-0.685178995
1958,811,-0.632993221
1959,811,-0.606969476
1960,811,-0.574475586
1961,811,-0.504181147
1962,811,-0.471604884
1963,811,-0.381260365
1964,811,-0.404965252
1965,811,-0.355247438
1966,811,-0.295714229
1967,811,-0.283690035
1968,811,-0.266573131
1969,811,-0.088831194
1970,811,-0.142716318
1971,811,-0.606969476
1972,811,-0.794073105
1973,811,-0.767870784
1974,811,-0.939047694
1975,811,-0.918793917
1976,811,-0.891598105
1977,811,-0.862749994
1978,811,-0.834710777
1979,811,-0.9162907
1980,811,-0.25489229
1981,811,-0.731887996
1982,811,-0.707246125
1983,811,-0.140412137
1984,811,-0.086647809
1985,811,-0.086647809
1986,811,-0.064005308
1987,811,-0.048140366
1988,811,-0.025317784
1989,811,-0.012072606
1990,811,-0.007024644
1991,811,0.013902962
1992,811,0.820108311
1993,811,0.845616285
1994,811,0.849965997
1995,811,0.851127957
1996,811,0.855135417
1997,811,0.855477782
1998,811,0.859197151
1999,811,0.856139868
2000,811,0.855740217
1960,471,-0.444725871
1961,471,-0.415515393
1962,471,-0.359536171
1963,471,-0.390084028
1964,471,-0.420071244
1965,471,-0.396009982
1966,471,-0.391562194
1967,471,-0.301105082
1968,471,-0.242071524
1969,471,-0.213193193
1970,471,-0.21815598
1971,471,-0.209487244
1972,471,-0.204567164
1973,471,-0.186329603
1974,471,-0.103140749
1975,471,-0.151986331
1976,471,-0.118783526
1977,471,-0.112049513
1978,471,-0.028399471
1979,471,0.069526091
1980,471,0.177309021
1981,471,0.257738233
1982,471,0.247641042
1983,471,0.294161052
1984,471,0.338612795
1985,471,0.396760672
1986,471,0.40479818
1987,471,0.363948435
1988,471,0.285178989
1989,471,0.308219671
1990,471,0.203756794
1991,471,0.104360029
1992,471,0.0285875
1993,471,-0.031724211
1994,471,-0.084775753
1995,471,-0.079987369
1996,471,-0.058639232
1997,471,-0.036103476
1998,471,-0.013909004
1999,471,0.002441998
2000,471,0.85762249
1945,20,1.646348357
1946,20,1.678964019
1947,20,1.710549474
1948,20,1.745715499
1949,20,1.748329878
1950,20,1.85316813
1951,20,1.873493075
1952,20,1.913829565
1953,20,1.931666374
1954,20,1.883882761
1955,20,1.942762375
1956,20,2.006198645
1957,20,1.99347508
1958,20,1.97324729
1959,20,1.988422155
1960,20,1.982104301
1961,20,1.9825176
1962,20,2.028805971
1963,20,2.063820124
1964,20,2.109485626
1965,20,2.15917635
1966,20,2.207504988
1967,20,2.22256732
1968,20,2.259886265
1969,20,2.300081968
1970,20,2.314908743
1971,20,2.360759735
1972,20,2.409194946
1973,20,2.47266531
1974,20,2.503483057
1975,20,2.508541822
1976,20,2.559472799
1977,20,2.579004049
1978,20,2.612346649
1979,20,2.647167206
1980,20,2.648512602
1981,20,2.677934647
1982,20,2.62031126
1983,20,2.646529198
1984,20,2.704978943
1985,20,2.74656558
1986,20,2.774399519
1987,20,2.809523106
1988,20,2.848275661
1989,20,2.863571405
1990,20,2.84333849
1991,20,2.79532814
1992,20,2.794961452
1993,20,2.806771517
1994,20,2.84335947
1995,20,2.862106562
1996,20,2.866509914
1997,20,2.898899078
1998,20,2.922760487
1999,20,2.959619045
2000,20,0.858343402
1975,402,0.822910096
1976,402,0.831239761
1977,402,0.837830561
1978,402,0.849001904
1979,402,0.851546743
1980,402,0.856344587
1981,402,0.858496733
1982,402,0.857876535
1983,402,0.856955936
1984,402,0.856551112
1985,402,0.85798318
1986,402,0.857540581
1987,402,0.859450344
1988,402,0.858546712
1989,402,0.85905294
1990,402,0.858550882
1991,402,0.857615173
1992,402,0.866107969
1993,402,0.859157575
1994,402,0.857863726
1995,402,0.857257911
1996,402,0.859291093
1997,402,0.857110497
1998,402,0.857593064
1999,402,0.856774217
2000,402,0.856883686
1960,482,-0.350976914
1961,482,-0.325730145
1962,482,-0.369615465
1963,482,-0.40646559
1964,482,-0.381260365
1965,482,-0.410980314
1966,482,-0.421594471
1967,482,-0.396009982
1968,482,-0.359536171
1969,482,-0.328504026
1970,482,-0.291690111
1971,482,-0.313341796
1972,482,-0.309246212
1973,482,-0.313341796
1974,482,-0.327116132
1975,482,-0.341082811
1976,482,-0.310609609
1977,482,-0.270497233
1978,482,-0.253602743
1979,482,-0.303811491
1980,482,-0.348140091
1981,482,-0.433864594
1982,482,-0.400477529
1983,482,-0.534435451
1984,482,-0.47481522
1985,482,-0.462035477
1986,482,-0.481266856
1987,482,-0.536143482
1988,482,-0.53102833
1989,482,-0.536143482
1990,482,-0.54645282
1991,482,-0.597836971
1992,482,-0.665531993
1993,482,-0.684424877
1994,482,-0.658140481
1995,482,-0.609484553
1996,482,-0.670207739
1997,482,-0.637497962
1998,482,-0.609533131
1999,482,-0.593093216
2000,482,0.855382109
1960,483,-0.279713929
1961,483,-0.282362908
1962,483,-0.216913
1963,483,-0.266573131
1964,483,-0.295714229
1965,483,-0.306525171
1966,483,-0.265268445
1967,483,-0.297059268
1968,483,-0.43695572
1969,483,-0.270497233
1970,483,-0.415515393
1971,483,-0.430782944
1972,483,-0.412489712
1973,483,-0.325730145
1974,483,-0.551647663
1975,483,-0.52424866
1976,483,-0.450985581
1977,483,-0.433864594
1978,483,-0.465215087
1979,483,-0.555125892
1980,483,-0.638659
1981,483,-0.757152498
1982,483,-0.994252264
1983,483,-1.203972816
1984,483,-1.17118299
1985,483,-0.894040108
1986,483,-0.949330628
1987,483,-0.999672353
1988,483,-0.9162907
1989,483,-0.886731923
1990,483,-0.918793917
1991,483,-0.850971282
1992,483,-0.89648813
1993,483,-1.098322868
1994,483,-1.035123348
1995,483,-1.062096238
1996,483,-1.065837383
1997,483,-1.049278498
1998,483,-1.011885285
1999,483,-1.046367168
2000,483,0.852642897
1945,155,0.851967237
1946,155,0.807368398
1947,155,0.924258888
1948,155,0.968883157
1949,155,0.881699264
1950,155,0.888302684
1951,155,0.9142887
1952,155,0.948564291
1953,155,1.011237264
1954,155,0.962028682
1955,155,0.963174284
1956,155,0.945461035
1957,155,1.012327909
1958,155,1.028189778
1959,155,0.987308204
1960,155,1.059524894
1961,155,1.102604389
1962,155,1.12102592
1963,155,1.144859552
1964,155,1.155937314
1965,155,1.182953477
1966,155,1.232851744
1967,155,1.234016895
1968,155,1.250761032
1969,155,1.270602822
1970,155,1.282321811
1971,155,1.356092811
1972,155,1.34859252
1973,155,1.285091877
1974,155,1.270041466
1975,155,1.093934774
1976,155,1.079089642
1977,155,1.164087892
1978,155,1.229348063
1979,155,1.308062434
1980,155,1.358923197
1981,155,1.415853143
1982,155,1.241268635
1983,155,1.163150787
1984,155,1.21580255
1985,155,1.243289709
1986,155,1.273125648
1987,155,1.330253005
